@Jessica_Chobot did you see the yakuza vs zombies .... smh but cool at the same time	the yakuza	{'the yakuza': '/en/the_yakuza'}
volunteering for the Rotary Club at the PoMo Terry Fox run . Should be an excellent time : come down and check it out on Sunday am !	Club||Rotary Club||Sunday am||Terry Fox run	{'Club': '/en/hot_dance_club_play', 'Rotary Club': '/en/rotary_international', 'Sunday am': '/en/national_nine_news', 'Terry Fox run': '/en/terry_fox_run'}
@ALiNA_BlahxD nein , das ist die von meinem bruder . aber bei ihm staubt die nur ein :D jetzt kann ich schon one time von justin bieber und	kann||justin bieber	{'kann': '/en/caro-kann_defence', 'justin bieber': '/en/justin_bieber'}
NEW BLOG - ' Badass Babes Savin ' The Day ' -- CHIX 6 , The ROXPERIENCE WEEK 5 : BWW is excited to present a new blog , ... http://bit.ly/9QkhUC	CHIX||BWW	{'CHIX': '/en/pixel_chix', 'BWW': '/en/bwa'}
@LOOPYisLINDSAY hahaha . Nice . How was ur day 2day ?		{}
@KaiyhaBADDass for you ? when I see you ... seriously ...		{}
She Love Me Long Timeeeee		{}
RT @BadAssNigerian : Chillin w | @Brownin21 .... n gettin pierced this week < WHOOOOP !!!		{}
@iDame2Please yea u c da pic 1st Presbyterian all day lol		{}
RT @foxyscot30 : RT @_CorruptedAngel RT @tomcoates : Bit grumpy about the bloody Pope clogging up London tomorrow . I suggest we take Gay P ...	London||Gay||Pope	{'London': '/en/london', 'Gay': '/en/lgbt', 'Pope': '/en/pope'}
Its crazy that one day I have energy to do laundry , mop floors , scrub everything down and the next I don't even feel like doing anything !		{}
@danibuono yet , once I get my iPhone that's when I'ma scream TeamiPhone RT your_commander : _Shomari lol why u say u guess ? http:///T0UZh	_Shomari||iPhone	{'_Shomari': '/authority/imdb/name/nm1904362', 'iPhone': '/en/iphone'}
Buck mountain tomorrow . #adirondacks #hiking	Buck mountain	{'Buck mountain': '/en/buck_mountain'}
@cassidyhaley ah , sorry hun . I'm not on call tonight , but I am a crisis worker , so you can call me anytime :)		{}
6 - close tonight . Its gonna be a longg evening !		{}
RT @GreatestQuotes : " When everything seems to be going against you , remember that the airplane takes off against the wind , not with it . " ...		{}
so far the herring is a success . definitely needs a couple more days though		{}
@Genuine Will I be seeing you at #typeamom next week ?		{}
RT @aBaddBeautyy : What did you say is happening at your house tonite @FlyHighBird ? * cough *-->> * cough *		{}
Bringing this one back . From last March . On tackles . On intent . More to say but for lack of time , here's this : http://ow.ly/2G4Mb ( Colin )	Colin	{'Colin': '/en/colin_powell'}
Awesome day		{}
8hr shift today yuck lol		{}
oh snap i got #blackandyellow on today .. just for wiz aha !	wiz	{'wiz': '/en/wiz_khalifa'}
@RaniLovezYou Yeah , he's had a few shows over here . Great chef , glad I wasn't disappointed ! His wife gave birth a couple of days ago , aww .		{}
Called my homie at the door so she could get in Secrets free on Thursday ..... #HoodRatsNeedLoveToo		{}
Comment of the Day : The Depths of Poverty [ We Read You ]:		{}
Oh wow . After like half a year of misaddressing them , Game Informer FINALLY corrected my label printing issues . Hope this one's good .		{}
RT @josielovesmcr : Danger Days : True Lives of The Fabulous Killjoys #mychemicalromance		{}
Goodmorning ? Just woke up .. Gonna study again for today's exams .. that's okay because later no more examinations ;)		{}
@BadgerBlogger LOL ! Yes it would have . " Let's have one every dang day ! "		{}
@soapsindepthcbs Disagree , disagree , no , no . When it's a finale , you can't really argue about stories/etc . ATWT went out great ... splendidly .	ATWT	{'ATWT': '/en/as_the_world_turns'}
someone may need to take away my mind , to stop me constantly drowning in my thoughts .		{}
The day you left us was a day we lost a loved one . But we will never leave you , Michael . All our love forever .	Michael	{'Michael': '/en/michael'}
@MrOH1O I been waiting on that ALL DAY		{}
Next week is Spirit Week at school ... Homecoming Week ... And Picture day on Tueday =\	Tueday	{'Tueday': '/authority/musicbrainz/1903c6fd-bb9a-485e-8d7d-665026ef0a99'}
@majornelson I'm out of town this weekend ! dagnabbit ! Why does all the cool stuff happen when I leave ?		{}
@TheGayDragon @RealmOfMachias Sir .. I SWEAR I had nothing to do with it this time .. honest .. please don't hurt me ..		{}
RT @Silje954 : AW C'MON VOTE FOR @justinbieber as BEST NEW ARTIST -> http://on.mtv.com/9w2tWQ <-- GO AND VOTE , TIME IS RUNNING OUT ! ...		{}
RT @eliseven : RT @yehudaberg : join me & thousands of people around the world tomorrow in a synchronized prayer 4 peace . 4pm PST . http:// ...	around the world||join me	{'around the world': '/en/rings_around_the_world', 'join me': '/en/join_me_in_death'}
If you're a guy & I keep hurting your " feelings " all the time , something ain't right . Chin up nigga DAMN . So unattractive .		{}
I just had to step into my office ( front porch ) again . Lol . I feel like everything happening today is highly unusual . I like it a lot !		{}
Wonder what the new Green Day album will called , Tre's Penis ?	Penis||Green Day||what the	{'Penis': '/en/penis', 'Green Day': '/en/green_day', 'what the': '/en/listen_to_what_the_man_said'}
" Always play them before they can play you " - Joy Huhn	Joy	{'Joy': '/en/symphony_no_9'}
@colintattum It's already tomorrow in Australia so can you tell just me now ?!	Australia	{'Australia': '/en/austraila'}
@Tink3rbell94 going to GA , don't know why but when I thought about it ATL stood out in my mind . I have time to plan it properly though :)	ATL||GA	{'ATL': '/en/hartsfield-jackson_atlanta_international_airport', 'GA': '/en/atlanta'}
@zedohhee hehehe-ahh I love the trolling XD I'm sure you can spell propah guud ( when you try really hard ) :)		{}
#JenniferAniston quote of the day : I don't have a religion . I believe in a God . I don't know what it looks like ( cont ) http://tl.gd/63av0t	God	{'God': '/en/god'}
Today's is @Elyse_D's last day before she goes on Maternity leave . Please take a moment to wish her well . We'll miss you !!!	Maternity leave	{'Maternity leave': '/en/parental_leave'}
@thevoiceoverguy 9 days then Sydney	Sydney	{'Sydney': '/en/sydney'}
Beddy bye for sleepy time xx		{}
@Dishfunctional yeah . big time dancer . i might worship her a bit		{}
@MsAustinTaylor whats been going on today ?		{}
On the bus . Full of people - thank goodness it's Friday !!	Friday	{'Friday': '/en/wwe_friday_night_smackdown'}
no work tonight . going to a sweet sixteen . shirt and tie . free food . why not .		{}
@JennyVeronica92 thats whassup . when u posed to be comin out here		{}
@davidcushman David , I just realised the other day you're no longer at Brando ? How come ? Doing your own thing ?! ( ps yeah it sucks ! )	Brando||David	{'Brando': '/en/marlon_brando', 'David': '/en/david'}
When I go to that musical I'm staying near old people so they'll cry w/me like Les Miserables :')	Les Miserables	{'Les Miserables': '/authority/openlibrary/book/OL11198164M'}
Hendrix died 40 years ago ... but his studio lives on . A look at NYC's Electric Lady Studios , past and present : http://ow.ly/2G49m	Hendrix	{'Hendrix': '/en/jimi_hendrix'}
Safety Day tomorrow at North Phoenix ATA . Kids Self-Defense class from 12-1 pm , Safety Presentation from 1-2 , Adult Self-Defense from 2-3 .	North||Phoenix	{'North': '/en/north_america', 'Phoenix': '/en/phoenix'}
I ain wear makeup in almost 2 weeks		{}
Ready for tonight		{}
U accused me of doin something . So u ain't talkin to me till Wednesday . Ok . Imma get on twitter since u say I did . Now u mad I'm on twitter !	twitter	{'twitter': '/en/twitter'}
@dragonjones couldn't help but notice you look uncomfortable when you walk . I am guessing you have a back problem .		{}
Can your CMS guarantee pixel-precise output when compared to our MS-Paint designs ? #cmsretractions	MS-Paint	{'MS-Paint': '/en/microsoft_paint'}
Win $100 Visa card ! http://www.alimartell.com/index.php/2010/09/14/its-the-most-wonderful-time-of-the-year-and-im-about-to-make-it-100-better		{}
@TempestBeauty Ive heard of that . Hadn't heard it called that before . I considered it but my hair is so oily , I think I would look dirty . :)		{}
@lilwhitebear @GrouchoDuke I'm not kidding ! I used a book which was published in 2008 ( last year ) ... it was an awesome book !		{}
I straightened my hair today i feel all purdy and junk :)		{}
@TheEllenShow #AskEllen Hi Ellen . Can you ask Portia when she's going to make a Twitter account ? Love you both so much ! Xo	Portia||Love you||Twitter||Ellen||she	{'Portia': '/en/portia_de_rossi', 'Love you': '/en/everyone_says_i_love_you', 'Twitter': '/en/twitter', 'Ellen': '/en/ellen_degeneres', 'she': '/en/van_she'}
@Sophieeander will .. Dont go !! Cause its your last year i know the school suck but you should go to school ^^ " HK can wait for u .. !!	HK	{'HK': '/en/heckler_koch_mp5'}
going to talk vill into gettinhg reach today . want it in time for sundays reacharound gamenight	sundays	{'sundays': '/en/the_sundays'}
@SashaGrey i am your big fan but i live too far , when do you come in orlando one day let me know ok	orlando	{'orlando': '/en/orlando'}
@aaronpfenning is there any chance we'll be able to buy some of your music by the time you start touring again ?		{}
@onephotojourney Thanks for the follow friday bump ! :)		{}
@EimearJedward auditioning on sunday :) xo		{}
anyway tonight was awesome but @cammieahch left really early :/		{}
It's the fescue turf grass aeration & overseeding season for Atlanta & N . Georgia . Do some evaluation & planning beforehand , there's time	fescue||Atlanta||Georgia||grass||N	{'fescue': '/en/fescue', 'Atlanta': '/en/atlanta', 'Georgia': '/en/georgia', 'grass': '/en/grass', 'N': '/en/big_o_notation'}
@MWgirl I have a date tonight , otherwise I would ! Expect a call or text from me later , though ;-)		{}
I got a very , very fun item from FedEx today . I'm so excited to add it to my demo bag ! #PassionParties . #WAHM	FedEx	{'FedEx': '/en/fedex'}
Engadget : Sky 3D enlists Stephen Fry to explain the technology ahead of its October 1 launch ( video ): With the of ... http://bit.ly/abRALO	Stephen Fry||Sky||Sky 3D||3D	{'Stephen Fry': '/en/stephen_fry', 'Sky': '/en/sky_digital', 'Sky 3D': '/en/sky_sports', '3D': '/en/3d_episode'}
Happy B-Day Jimmie Johnson FLYING LIZARD	Jimmie Johnson	{'Jimmie Johnson': '/en/jimmie_johnson'}
It's near ! RT @skinnyemmie : RT @shesafitchick : 989 followers !! RT to help me hit 1000 today please ! :) #fitblog #hls #31DBBB		{}
MD Jobs | Executive Pharmacist-Full Time Float-Ellicott City , MD Job ( MD ) http://bit.ly/daNH6v #Job #Hiring #MDJobs	MD||Job	{'MD': '/en/maryland', 'Job': '/en/unemployment'}
Let's go to New York tomorrow with Blakehurst . Contact us about your fall/winter trave @ 410-336-3234	New York||Blakehurst	{'New York': '/en/new_york', 'Blakehurst': '/en/blakehurst_new_south_wales'}
RT @ravenalexis Wanna meet me , @jessejane , @rileysteele , and @kayden_kross ? Come to the Body Heat signing at Hustler Hollywood Sep 23rd 8-10pm	Body Heat||Hustler Hollywood	{'Body Heat': '/en/thermoregulation', 'Hustler Hollywood': '/en/hustler_video'}
RT @WakaFlocka1017 : SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N ...		{}
Ima start going to the dr once a month so I get my moneys worth		{}
RT @itsJuliaHardy @WanderingRyu I noticed a Ryu shaped hole in the show ... ;) Def tune in next week if u can . XX	the show||Ryu	{'the show': '/en/mlb_09_the_show', 'Ryu': '/en/ryu_hayabusa'}
When your database of all staff is on a flash drive that goes missing #flash #database #Security http://bit.ly/b1lWKW		{}
I don't mean to sound old , but today's music is wack .		{}
Come to " 6th Biannual 24 Hour Prayer Focus " Saturday , November 13 from 10:00 am to 1:00 pm . Mark the Date !!! http://fb.me/JyYXPmql	November||Mark	{'November': '/en/sweet_november', 'Mark': '/en/mark_wahlberg'}
@hunleyd What is taking them sooo long ?		{}
@TATTEDUP_FLYTY lol Hmmm .. man u kno when u tripped LMao		{}
RT @johan0394 : Soulja Boy | TheDeAndreWay.com -- The DeAndre Way in stores Nov 2 , 2010 http://t.co/eoELod9 via @SouljaBoy	DeAndre Way||Nov||Soulja Boy	{'DeAndre Way': '/en/soulja_boy', 'Nov': '/en/novial', 'Soulja Boy': '/en/soulja_boy'}
@keoghsie It's been ages !! How are you ? We've been doing non-Twitter stuff for a while , but now have time for yapping again ! HUrrah !!		{}
No Good Punk : Thug knocks 84-year-old to the ground , steals her purse http://lsnlw.com/t/4188153892/		{}
@XrisLastRights yep ... we don't have anything here ... ( ok , we've had mcfly one year ago but .. that's it )	mcfly	{'mcfly': '/en/mcfly'}
@MiggleM We'll catch up some time ... * knows this won't happen *		{}
@yungtybrownski just weak lol . You gone go Hamm next Thursday on team darkness	Hamm	{'Hamm': '/en/hamm'}
All The Time		{}
" You may have given up on me , but I'm not given up on you . " -The Boy You Use To Love		{}
RT @kktv11news : Woman Gets Year In Prison in Dog's Dragging Death http://goo.gl/fb/WcjLV		{}
RT @ChicagoFire : Join the TIFO CREW says @Section8Chicago's Dan Martin in this week's S8 blog : http://ow.ly/2G43u	TIFO||S8||this week||Dan||Dan Martin||Martin	{'TIFO': '/en/tifo', 'S8': '/en/audi_s8', 'this week': '/en/this_week_at_war', 'Dan': '/en/dan_rather', 'Dan Martin': '/en/jake_martin', 'Martin': '/en/aston_martin'}
Use My Shopping Genie before ?? How did it work for you ? Try it out here http://bit.ly/cawTJF		{}
@philmacaulay Recently appreciated how amazing night time is :D		{}
Soulja Boy | TheDeAndreWay.com - The DeAndre Way in stores Nov 2 , 2010 http://t.co/ifJBMTR via @SouljaBoy	DeAndre Way||Nov||Soulja Boy	{'DeAndre Way': '/en/soulja_boy', 'Nov': '/en/novial', 'Soulja Boy': '/en/soulja_boy'}
RT @Slijterijmeisje : Kreeg net een bruikbare tip van iemand die vorige week was begonnen met een whiskydieet , hij was nu al 3 dagen kwijt	Kreeg||van||van iemand	{'Kreeg': '/authority/musicbrainz/5b801ebc-5184-47ec-a60c-01ba6b49cd16', 'van': '/en/van', 'van iemand': '/authority/musicbrainz/71774f8a-b3a8-47ae-b51e-95a197c427e8'}
RT @HRosenfelder - Educate yourself about long-term care by going to http://www.ltcfp.com . #financial		{}
Telly was junk last week	Telly	{'Telly': '/en/indian_telly_awards'}
Train with us for the HCA 8K ! We start tomorrow morning at 7:30 am at the showroom !	HCA	{'HCA': '/en/hospital_corporation_of_america'}
" You'll find that when you seek to understand first you won't feel a need to be understood as much . " - @TonyGaskins		{}
RT @Durell_G : When life throws u lemons ... Throw them back .. < make lemonade or @giapo sorbet ?		{}
Madden tonite !!! the homie going down ! Better get then clips ready ! For my free cut !! Ha ha	Madden	{'Madden': '/en/madden_nfl'}
sexy azz @RICCOBARRINO tweeted me but can i get a follow baby ??? and i got you i will let my folks know ... when is the new album ?? i willget	can i get a||you i	{'can i get a': '/en/can_i_get_a_witness', 'you i': '/en/for_you_i_will'}
@EssieLovesYou yesterday i had a kings of leon marathon . i slept happy ll !	kings of leon	{'kings of leon': '/en/kings_of_leon'}
The Maccabees are the love of my life . one day i will be married to all of them .	The Maccabees	{'The Maccabees': '/en/the_maccabees'}
@chrislhayes That's nothing compared to the LaserDiscs I picked up at goodwill the other day . Completely useless those .	LaserDiscs||goodwill	{'LaserDiscs': '/en/laserdisc', 'goodwill': '/en/goodwill_industries'}
September dates to remember : http://fb.me/zUJIeN0U		{}
@i_r_squared In December , I would advise against that .		{}
UT : John Chiles out , Mike Davis in : Texas wide receiver John Chiles has been ruled out of Saturday night's game wit ... http://es.pn/aBLrXN	UT||John Chiles||Saturday night||Texas||Mike Davis	{'UT': '/en/utah', 'John Chiles': '/en/john_chiles', 'Saturday night': '/en/saturday_night_live', 'Texas': '/en/texas', 'Mike Davis': '/en/mike_davis'}
@basboeit Een groeiproces in de ruimste zin van het woord . Ik arriveerde toen 5 kilo . Gelukkig viel ik er deze week evenzoveel weer uit .	Een||toen	{'Een': '/en/een_tv_station', 'toen': '/en/toen'}
@cosmicblend but you ARE coming tonight , right ?		{}
Edmonton dealers raise $320000 for Special Olympics : By Tim Yip , Edmonton Journal September 17 , 2010 2:03 PM Chari ... http://bit.ly/b0CYjb	Tim||Edmonton||Edmonton Journal	{'Tim': '/en/tim_thomas_1974', 'Edmonton': '/en/edmonton_journal', 'Edmonton Journal': '/en/edmonton_journal'}
# howtohustle.net Prodigy Will Be Released In February http://bit.ly/c3yxYy		{}
RT @BLKICE3 : Free before 10:30 .... Wear All Black People !!!! http://twitpic.com/2pd1vc		{}
Made it back home to GA . It sucks not to be at Disney world , but its good to be home . Time to start planning the next Disney World trip .	GA	{'GA': '/en/atlanta'}
RT @BitchImYerp : all the badd biddies gon have lingerie on tonite at #obsessions so ima wear my cheetah print thong ! lmfao		{}
@tjmota I am wishing you happy birthday now , because I can't remember when your birthday really is except that it's around now .	remember when||happy birthday	{'remember when': '/en/remember_when', 'happy birthday': '/en/happy_birthday_sweet_sixteen'}
I wanna go to the mall SO bad . Not enough hours in a day		{}
Great #fail photo from @joshbuisch , who gets my #FF vote for the day for being hilarious ! http://bit.ly/bA3lUl		{}
RT @CocaineBesos : Time Is Money , Don't Have Time For That Other Shit *		{}
Winner will be chosen Monday morning . Get your caption in the funny photo caption contest- Nadal and Novak in the tub http://ow.ly/2G3Jh	Novak||Nadal||Monday morning	{'Novak': '/en/novak_djokovic', 'Nadal': '/en/rafael_nadal', 'Monday morning': '/authority/netflix/tiny/BVV4t'}
OMG ! Miley Cyrus Has A 14-Year-Old Stalker ! : First Paris Hilton , now Miley Cyrus ! Cops responded to a break in cal ... http://bit.ly/cd6OPC	Miley Cyrus||Paris Hilton	{'Miley Cyrus': '/en/miley_cyrus', 'Paris Hilton': '/en/paris_hilton'}
@leeboardman and three points on sunday ..... na night !!		{}
RT @BomadeBeverage #TEAMBOMADE everywhere ! today from 7-10pm Golf Mixer at Trophy Club Gwinnett 3254 Clu ... http://schmap.it/YoLAXI?a <-- MAP	Gwinnett||Golf	{'Gwinnett': '/en/gwinnett_county', 'Golf': '/en/golf'}
Mostly clear tonight , low 63 ( 17 C ) . Sunny Saturday , high near 86 ( 30 C ) .	Sunny Saturday||Sunny	{'Sunny Saturday': '/en/huberts_sunny_saturday', 'Sunny': '/en/sunny'}
